nodeid,isFraud,init_balance,fraudStep
0,0,184.44,-1
1,0,175.80,-1
2,0,142.06,-1
3,0,125.89,-1
4,0,151.13,-1
5,0,140.49,-1
6,0,178.38,-1
7,0,130.33,-1
8,0,147.66,-1
9,0,158.34,-1
10,0,190.81,-1
11,0,150.47,-1
12,0,128.18,-1
13,0,175.58,-1
14,0,161.84,-1
15,0,125.05,-1
16,0,190.97,-1
17,0,198.28,-1
18,0,181.02,-1
19,0,190.22,-1
20,0,131.01,-1
21,0,172.98,-1
22,0,189.88,-1
23,0,168.40,-1
24,0,147.21,-1
25,0,110.07,-1
26,0,143.42,-1
27,0,161.09,-1
28,0,191.30,-1
29,0,196.66,-1
30,0,147.70,-1
31,0,186.53,-1
32,0,126.05,-1
33,0,180.50,-1
34,0,154.87,-1
35,0,101.40,-1
36,0,171.97,-1
37,0,139.88,-1
38,0,182.48,-1
39,0,166.82,-1
40,0,100.11,-1
41,0,149.36,-1
42,0,186.76,-1
43,0,124.39,-1
44,0,132.52,-1
45,0,187.05,-1
46,0,119.11,-1
47,0,156.75,-1
48,0,123.86,-1
49,0,196.75,-1
50,0,180.32,-1
51,0,144.80,-1
52,0,108.04,-1
53,0,132.01,-1
54,0,150.79,-1
55,0,193.28,-1
56,0,110.91,-1
57,0,155.13,-1
58,0,170.66,-1
59,0,154.74,-1
60,0,181.45,-1
61,0,154.03,-1
62,0,196.38,-1
63,0,160.32,-1
64,0,158.76,-1
65,0,144.50,-1
66,0,159.63,-1
67,0,138.49,-1
68,0,157.57,-1
69,0,129.03,-1
70,0,118.94,-1
71,0,118.67,-1
72,0,161.28,-1
73,0,165.67,-1
74,0,147.65,-1
75,0,108.98,-1
76,0,175.76,-1
77,0,187.68,-1
78,0,192.34,-1
79,0,184.25,-1
80,0,189.82,-1
81,0,192.31,-1
82,0,154.06,-1
83,0,139.13,-1
84,0,170.53,-1
85,0,127.56,-1
86,0,181.16,-1
87,0,184.95,-1
88,0,189.50,-1
89,0,158.98,-1
90,0,194.98,-1
91,0,157.97,-1
92,0,145.06,-1
93,0,166.02,-1
94,0,199.63,-1
95,0,191.69,-1
96,0,179.33,-1
97,0,108.24,-1
98,0,161.28,-1
99,0,148.64,-1
100,0,163.01,-1
101,0,184.51,-1
102,0,124.30,-1
103,0,173.15,-1
104,0,111.71,-1
105,0,122.05,-1
106,0,179.46,-1
107,0,133.25,-1
108,0,181.59,-1
109,0,110.06,-1
110,0,114.64,-1
111,0,169.77,-1
112,0,104.52,-1
113,0,157.39,-1
114,0,191.00,-1
115,0,153.42,-1
116,0,168.06,-1
117,0,102.67,-1
118,0,163.50,-1
119,0,160.63,-1
120,0,157.60,-1
121,0,139.12,-1
122,0,137.01,-1
123,0,198.05,-1
124,0,103.64,-1
125,0,102.16,-1
126,0,196.10,-1
127,0,118.50,-1
128,0,112.39,-1
129,0,121.06,-1
130,0,180.07,-1
131,0,193.70,-1
132,0,102.28,-1
133,0,142.56,-1
134,0,110.15,-1
135,0,125.99,-1
136,0,122.08,-1
137,0,164.69,-1
138,0,135.03,-1
139,0,118.03,-1
