sourceNodeId,targetNodeId,value,time
280,15349,147.8,1
249,9015,104.06,1
166,9955,183.77,1
371,9446,103.94,1
276,10800,128.94,1
720,10160,253.16,2
683,14218,225.83,2
282,19225,104.83,2
463,16088,291.08,2
577,7832,387.42,2
792,19749,356.7,2
510,2245,387.64,2
780,18067,286.97,2
239,12790,145.3,2
158,16226,144.22,2
696,5792,246.8,2
487,4677,219.83,2
705,18129,302.42,2
561,18214,264.13,2
897,9225,452.75,3
1101,7280,589.05,3
772,712,365.86,3
72,5055,161.27,3
907,13250,427.64,3
888,17028,443.29,3
740,4994,208.86,3
784,8899,240.24,3
267,14947,115.09,3
125,9972,102.16,3
115,16129,153.41,3
368,11456,106.63,3
937,18503,430.16,3
350,4051,149.83,3
1032,14663,532.22,3
508,13210,240.96,3
268,15315,133.33,3
777,17777,374.22,3
993,19765,400.2,3
1136,16145,431.04,3
753,19940,208.89,3
403,9922,236.38,3
876,10359,430.23,3
288,6954,141.47,3
997,710,585.88,3
844,9883,505.29,3
618,17560,249.8,3
1016,2275,550.95,3
1194,9889,438.1,3
526,16516,387.42,3
390,1008,190.58,3
474,17763,218.69,3
1282,18321,164.52,4
429,2387,209.41,4
1527,8935,189.1,4
1504,9986,147.97,4
98,12532,161.27,4
1411,19985,184.96,4
391,19271,120.61,4
962,9937,555.17,4
1529,17078,196.75,4
383,14356,150.24,4
645,9985,338.94,4
886,4241,484.52,4
1513,13059,138.38,4
21,4153,172.97,4
32,19993,126.05,4
716,19856,316.19,4
543,9878,226.44,4
1512,9972,111.0,4
760,9745,395.77,4
1375,9745,181.28,4
1031,3576,431.07,4
1112,17940,425.07,4
1186,14576,580.36,4
766,15169,282.79,4
1275,18676,165.86,4
923,6006,585.53,4
1485,8324,174.24,4
1380,15890,170.44,4
499,8041,271.85,4
129,19968,121.05,4
170,14652,174.16,4
956,10400,499.2,5
942,19527,453.97,5
563,19988,258.66,5
1014,9942,559.33,5
1835,6081,289.76,5
1780,4515,269.7,5
1833,7745,361.7,5
93,11897,166.02,5
290,7353,190.86,5
1588,18373,133.97,5
1325,9988,129.6,5
1647,19891,248.58,5
1249,4690,101.34,5
1125,19364,517.17,5
1398,14178,145.25,5
1852,483,256.33,5
1476,9925,134.08,5
604,17303,305.22,5
172,19748,104.56,5
1529,15078,196.75,5
1232,9654,187.88,5
1772,9056,338.73,5
270,2976,171.85,5
1467,4936,109.75,5
1853,645,280.83,5
1120,6411,510.98,5
1933,788,279.38,5
1111,9953,411.97,5
1927,19584,337.66,5
1326,14744,163.44,5
1640,8130,286.8,5
1601,19089,280.97,5
1723,14321,230.96,5
1765,19265,297.04,5
1683,19366,204.25,5
1581,4928,112.02,5
264,17638,120.77,5
887,19816,578.48,5
1806,5142,216.07,5
775,18339,298.0,5
1559,5920,138.11,5
1869,2918,283.47,5
1583,17936,191.11,5
1980,17667,362.35,5
349,18821,132.25,5
228,4710,109.77,5
1032,16682,532.22,5
546,18850,214.63,5
609,6960,256.67,5
1033,18995,584.73,5
745,13158,240.32,5
1548,4754,119.76,6
1726,8180,212.66,6
1543,7744,111.65,6
2272,1536,133.08,6
914,9860,564.13,6
1739,13587,206.36,6
1369,8656,199.25,6
1446,12921,155.61,6
1000,14961,589.34,6
610,8089,351.04,6
1568,1316,159.58,6
1752,9986,204.38,6
1745,19060,237.91,6
2148,9217,190.47,6
801,18636,571.82,6
